605 529 -528, 155 763 -342, 732 178 901, 649 -658 613, 971 -443 619, 165 -87 -815, -882 -576 -977, -861 629 -873, -446 266 -951, -583 -650 927, 
691 450 -429, -110 650 25, 425 407 677, 422 -635 357, 850 -314 329, 256 -382 -564, -658 -600 -533, -782 606 -395, -474 187 -607, -554 -305 554, 
623 498 -472, -199 639 162, 412 466 651, 339 -662 411, 793 -285 322, 356 -461 -573, -601 -619 -466, -737 646 -326, -407 195 -627, -556 -277 553, 
576 523 -480, -286 622 298, 447 493 630, 283 -662 460, 753 -264 323, 422 -495 -570, -575 -614 -436, -713 646 -335, -367 201 -635, -566 -286 558, 
548 536 -476, -360 601 401, 482 511 604, 250 -656 491, 724 -259 324, 458 -510 -564, -559 -605 -427, -682 644 -369, -335 190 -629, -574 -315 556, 
532 543 -474, -408 579 461, 498 525 581, 231 -649 510, 705 -263 326, 479 -518 -559, -549 -600 -429, -649 644 -397, -308 164 -612, -581 -348 547, 
526 546 -476, -437 560 492, 500 536 564, 220 -642 523, 694 -268 331, 493 -523 -556, -545 -600 -437, -623 646 -417, -288 131 -591, -587 -376 537, 
525 547 -480, -455 544 507, 497 543 552, 210 -634 531, 690 -274 338, 503 -527 -553, -544 -604 -446, -604 646 -432, -274 101 -568, -593 -398 527, 
527 546 -485, -467 532 514, 492 548 544, 200 -625 535, 691 -282 346, 510 -530 -551, -544 -609 -456, -590 644 -445, -263 77 -545, -600 -415 520, 
529 544 -489, -476 524 517, 487 551 537, 188 -615 536, 696 -292 356, 515 -533 -549, -546 -613 -465, -581 641 -456, -254 59 -524, -606 -429 514, 
531 542 -493, -483 519 519, 484 553 532, 172 -604 535, 702 -305 368, 519 -535 -547, -548 -616 -474, -574 638 -466, -245 45 -504, -613 -439 509, 
533 540 -495, -489 516 520, 481 553 527, 153 -592 532, 708 -322 382, 522 -537 -545, -550 -617 -483, -570 633 -474, -235 35 -485, -619 -447 506, 
535 538 -497, -494 515 520, 480 552 523, 133 -580 527, 712 -342 396, 524 -538 -544, -553 -615 -492, -568 628 -482, -223 28 -467, -627 -453 503, 
537 536 -499, -497 515 520, 480 550 520, 114 -569 522, 714 -362 410, 526 -538 -542, -556 -612 -500, -567 621 -489, -207 23 -450, -635 -457 500, 
540 536 -500, -500 516 520, 481 548 517, 96 -558 517, 714 -381 422, 528 -539 -541, -558 -606 -507, -567 613 -495, -189 20 -434, -642 -460 498, 
542 536 -501, -502 517 520, 482 545 515, 80 -549 514, 713 -397 432, 530 -540 -540, -560 -599 -514, -567 606 -500, -168 19 -419, -649 -463 496, 
544 537 -503, -503 519 520, 484 543 514, 66 -542 512, 711 -411 441, 532 -541 -539, -561 -592 -519, -567 599 -504, -147 19 -405, -655 -465 494, 
546 539 -504, -504 520 520, 486 540 514, 55 -537 511, 708 -422 448, 534 -542 -539, -561 -586 -523, -567 592 -507, -127 20 -392, -660 -466 491, 
548 541 -505, -505 522 519, 489 538 514, 46 -534 511, 705 -431 452, 536 -543 -539, -560 -580 -527, -567 586 -509, -108 21 -381, -665 -467 489, 
