605.000000 529.000000 -528.000000, 155.000000 763.000000 -342.000000, 732.000000 178.000000 901.000000, 649.000000 -658.000000 613.000000, 971.000000 -443.000000 619.000000, 165.000000 -87.000000 -815.000000, -882.000000 -576.000000 -977.000000, -861.000000 629.000000 -873.000000, -446.000000 266.000000 -951.000000, -583.000000 -650.000000 927.000000, 
665.910767 453.116058 -437.637146, -109.757431 657.587952 26.628370, 476.700989 463.938263 783.087524, 415.734253 -640.351990 363.861206, 845.901123 -316.203064 333.416473, 253.461456 -386.917389 -578.449463, -644.270386 -605.195679 -542.117859, -774.799255 610.816589 -400.003906, -467.709961 188.861984 -615.710632, -545.916138 -307.667755 567.329285, 
605.544128 502.944763 -475.864166, -190.394592 639.425842 184.367722, 432.023987 495.398071 688.314880, 331.810028 -660.279053 418.081665, 774.872559 -274.298462 325.941467, 358.175934 -470.179382 -586.943787, -591.995728 -623.362000 -471.876862, -728.508972 647.685242 -334.868469, -406.100555 194.837936 -636.489258, -541.525146 -275.670044 568.308350, 
563.834290 528.691589 -489.370331, -278.627380 620.336548 318.726807, 457.311859 513.262939 653.743896, 280.845428 -669.022766 468.812714, 727.567444 -249.912003 327.373108, 418.519104 -501.535675 -573.374207, -565.385742 -618.493286 -440.681458, -728.780701 679.638855 -359.035248, -364.278931 195.429413 -645.006653, -546.492615 -288.204803 570.887573, 
535.969666 543.755615 -489.423370, -358.314178 607.901062 416.842926, 488.754669 525.824158 624.133484, 257.322052 -672.067200 505.490265, 696.620605 -240.683105 329.244568, 451.393341 -515.852722 -574.779907, -479.898773 -607.021545 -433.183136, -682.901794 677.148071 -383.976349, -328.451416 181.920685 -634.907654, -537.904175 -313.468353 570.335022, 
538.755493 578.559998 -512.532898, -404.917114 586.230591 474.399475, 497.636993 542.032471 599.096313, 253.464172 -676.118408 531.923157, 668.310547 -237.466995 329.404541, 480.181000 -519.753662 -575.269653, -509.134277 -605.728455 -435.172455, -630.573853 655.642090 -411.756348, -315.038177 156.356354 -617.731689, -476.624329 -349.469116 556.811279, 
523.248474 562.191711 -497.246246, -442.409607 567.209778 485.436768, 525.996521 588.439941 610.322998, 275.798767 -691.822449 545.265442, 788.329651 -279.037170 395.693817, 463.247192 -521.102844 -568.449768, -523.060181 -607.289551 -437.774963, -682.944763 741.504761 -485.023438, -293.945770 123.365036 -598.333008, -534.114685 -373.276825 548.106567, 
516.233765 553.734802 -485.442719, -452.556519 553.127747 493.951416, 500.694794 566.942932 574.309387, 254.141129 -657.235046 535.383972, 705.031677 -261.136993 373.694550, 490.600616 -522.148376 -555.853638, -1007.990784 -1156.188599 -840.185791, -611.325562 678.277893 -476.521179, -297.467285 114.739136 -560.401001, -548.358154 -383.422516 539.502319, 
520.155884 556.205688 -499.436523, -461.188568 546.891602 510.219910, 484.045288 555.341492 563.699158, 224.157150 -659.255859 522.066223, 668.354858 -249.971588 359.647186, 422.305023 -508.235077 -553.844238, -784.163086 -881.103760 -706.065979, -574.894470 663.747009 -478.687134, -351.650177 -36.473850 -539.597839, -562.212769 -426.312225 452.360046, 
509.496490 542.151733 -503.938477, -472.771393 532.014832 522.809631, 477.996979 565.892395 555.578918, 221.247604 -662.517761 543.915405, 667.318359 -254.204102 362.459381, 454.138062 -453.857208 -560.988892, -622.981262 -733.524048 -583.753967, -544.585938 654.961121 -486.959564, -368.309875 -62.228130 -517.001709, -586.521240 -461.729370 467.170349, 
497.633362 547.094116 -507.272949, -482.864258 518.438049 529.026733, 477.791595 574.375793 550.151062, 218.397354 -656.403748 549.708984, 665.069031 -258.885651 366.029022, 487.318237 -510.324677 -548.695007, -569.161011 -710.570374 -547.762512, -528.179565 652.852112 -456.720978, -370.259094 -44.630219 -479.379150, -591.001465 -467.937531 488.485046, 
503.184143 535.963745 -514.247620, -482.153809 508.849823 539.780090, 494.265747 605.044800 571.132141, 211.823776 -647.127197 559.716614, 653.063416 -253.785980 372.207031, 491.270264 -519.083740 -555.709167, -528.116333 -685.854309 -527.887329, -514.861206 651.749573 -480.365204, -365.634003 -32.032501 -474.018097, -585.088135 -469.373047 500.307953, 
515.237549 534.067139 -511.522827, -486.557251 504.161621 535.328308, 470.790894 589.240479 544.740295, 206.909592 -645.431885 559.645752, 656.098572 -241.085373 371.982544, 512.080566 -532.321106 -556.028076, -502.789520 -681.152100 -516.381409, -552.927734 702.958496 -517.503418, -373.796082 -20.276491 -460.115662, -589.010620 -472.327606 504.270813, 
511.233307 529.675232 -515.455261, -493.555847 508.408569 531.221130, 472.188538 589.005798 537.659668, 214.535706 -645.037109 554.741821, 657.798340 -242.380539 376.255615, 516.048096 -532.883118 -536.903870, -511.143494 -628.417908 -517.980591, -528.377808 678.365479 -508.514191, -376.826080 -2.538861 -454.712616, -599.200256 -477.029449 511.215820, 
